term,file,n
không,thay-lazaro-phien.docx,77
đã,thay-lazaro-phien.docx,88
không-đã,thay-lazaro-phien.docx,13
đã-không,thay-lazaro-phien.docx,17
mười năm,thay-lazaro-phien.docx,6
không,song_mon_2.docx,1049
đã,song_mon_2.docx,595
không-đã,song_mon_2.docx,30
đã-không,song_mon_2.docx,57
vợ-con-mình,song_mon_2.docx,3
thế-này-ư,song_mon_2.docx,3
những-lúc-thấy,song_mon_2.docx,2
chỗ-này-còn,song_mon_2.docx,1
mười năm,song_mon_2.docx,5
mình-bắt đầu,song_mon_2.docx,1
không,song_mon.docx,1049
đã,song_mon.docx,595
không-đã,song_mon.docx,30
đã-không,song_mon.docx,57
vợ-con-mình,song_mon.docx,3
thế-này-ư,song_mon.docx,3
những-lúc-thấy,song_mon.docx,2
chỗ-này-còn,song_mon.docx,1
mười năm,song_mon.docx,5
mình-bắt đầu,song_mon.docx,1
